,BME280_Humidity,BME280_Pressure,BME280_Temp,DS18B20_Temp,Date,Intensity,Spinach_Area,Potato_Area
196,47.7,899.95,26.37,18.88,2019-11-13 14:52:06,1122.0,139739,59825
197,50.37,901.3,22.38,17.06,2019-11-14 13:00:45,598.0,132899,59940
198,49.17,900.94,23.54,17.44,2019-11-14 13:15:59,1018.0,123034,52602
199,48.67,900.49,24.03,17.5,2019-11-14 13:31:12,1115.0,117110,41429
200,48.75,900.51,23.96,18.06,2019-11-14 13:46:26,1038.0,114874,51440
201,47.32,900.26,25.37,19.0,2019-11-14 14:01:39,1221.0,159333,76040
202,47.41,900.07,25.45,19.25,2019-11-14 14:16:53,1570.0,125236,52499
203,47.68,900.11,25.22,18.25,2019-11-14 14:32:07,1309.0,110895,42953
204,47.9,900.2,25.13,19.0,2019-11-14 14:47:20,1045.0,111688,40571
205,48.21,900.29,24.9,18.75,2019-11-14 15:02:34,816.0,115447,38061
206,48.76,900.32,24.37,17.81,2019-11-14 15:17:47,731.0,97720,25625
207,50.43,900.4,22.77,16.88,2019-11-14 15:47:40,360.0,110447,24907
208,45.28,899.97,28.63,21.25,2019-11-15 14:05:33,1471.0,59282,34626
209,47.14,899.84,25.9,20.19,2019-11-15 14:47:40,892.0,41519,21211
210,47.09,899.91,26.0,20.19,2019-11-15 15:07:51,893.0,44705,20089
211,47.0,899.74,26.42,19.69,2019-11-15 15:23:06,795.0,55626,21943
212,47.47,899.74,25.98,18.94,2019-11-15 15:38:19,657.0,72519,24537
213,47.82,899.72,25.77,19.38,2019-11-15 15:53:33,555.0,89727,29879
214,43.71,899.53,31.1,22.56,2019-11-17 13:00:29,2262.0,134296,95381
215,44.34,898.88,27.9,22.19,2019-11-17 14:00:18,1202.0,381147,313221
216,44.16,898.81,27.92,22.5,2019-11-17 14:15:33,1069.0,394154,313177
217,44.08,898.55,27.72,22.06,2019-11-17 14:30:46,954.0,383242,254366
218,44.13,898.41,27.56,21.69,2019-11-17 14:46:00,868.0,347493,200916
219,44.27,898.3,27.16,21.12,2019-11-17 15:01:13,793.0,326642,138677
220,44.73,898.19,26.5,20.88,2019-11-17 15:16:27,716.0,320117,124761
221,44.94,898.1,26.14,20.44,2019-11-17 15:31:40,640.0,271616,74120
222,45.13,897.88,25.88,20.12,2019-11-17 15:46:54,547.0,216141,46395
223,44.61,897.48,28.94,20.12,2019-11-18 13:04:06,2157.0,127823,136082
224,45.39,897.18,27.5,21.12,2019-11-18 13:19:20,1605.0,206540,213617
225,45.01,897.04,27.28,20.5,2019-11-18 13:34:33,1415.0,270574,288601
226,44.82,896.8,27.15,21.12,2019-11-18 13:49:46,1291.0,357841,367842
227,44.62,896.67,27.21,21.06,2019-11-18 14:05:00,1170.0,383643,357108
228,44.59,896.54,26.87,20.69,2019-11-18 14:20:14,1036.0,361624,320593
229,44.77,896.27,26.53,20.0,2019-11-18 14:35:27,944.0,334401,240790
230,44.67,896.31,26.39,20.56,2019-11-18 14:50:42,864.0,314647,204584
231,44.76,896.12,26.03,20.62,2019-11-18 15:05:55,787.0,313300,173527
232,44.86,895.98,25.92,20.0,2019-11-18 15:21:09,705.0,285894,143850
233,45.07,895.93,25.58,19.69,2019-11-18 15:36:23,622.0,202561,63613
234,45.35,895.92,25.06,18.56,2019-11-18 15:51:37,527.0,118244,23823
235,43.75,897.35,29.4,20.5,2019-11-19 13:03:15,1932.0,11216,6407
236,43.77,897.29,28.82,20.81,2019-11-19 13:18:29,1862.0,46269,32511
237,44.59,897.3,27.69,20.69,2019-11-19 13:33:42,1458.0,81559,84200
